ISO_3_code,Countryname,Who_region,Year,Vaccinecode,Vaccine_description,Schedulerounds,Targetpop,Targetpop_Description,Geoarea,Ageadministered,Sourcecomment
ABW,Aruba,AMRO,2023.0,DTAPHIBIPV,DTaP-Hib-IPV (acellular) vaccine,1.0,,General/routine,NATIONAL,M2,
ABW,Aruba,AMRO,2023.0,DTAPHIBIPV,DTaP-Hib-IPV (acellular) vaccine,2.0,,General/routine,NATIONAL,M4,
ABW,Aruba,AMRO,2023.0,DTAPHIBIPV,DTaP-Hib-IPV (acellular) vaccine,3.0,,General/routine,NATIONAL,M6,
ABW,Aruba,AMRO,2023.0,DTAPHIBIPV,DTaP-Hib-IPV (acellular) vaccine,4.0,B_2YL_W,General/routine,NATIONAL,M15,
ABW,Aruba,AMRO,2023.0,DTAPIPV,DTaP-IPV (acellular) vaccine,5.0,B_CHILD_W,General/routine,NATIONAL,Y4,
ABW,Aruba,AMRO,2023.0,DTAPIPV,DTaP-IPV (acellular) vaccine,6.0,,General/routine,NATIONAL,Y10,
ABW,Aruba,AMRO,2023.0,DTAPIPV,DTaP-IPV (acellular) vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,DTAPIPV,DTaP-IPV (acellular) vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,DTAPIPV,DTaP-IPV (acellular) vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M5,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,HEPA_ADULT,Adult Hepatitis A vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
ABW,Aruba,AMRO,2023.0,HEPA_ADULT,Adult Hepatitis A vaccine,2.0,TRAVELLERS,Travellers,NATIONAL,+M6,travellers
ABW,Aruba,AMRO,2023.0,HEPA_PEDIATRIC,Pediatric Hepatitis A vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
ABW,Aruba,AMRO,2023.0,HEPA_PEDIATRIC,Pediatric Hepatitis A vaccine,2.0,TRAVELLERS,Travellers,NATIONAL,+M6,travellers
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,HW,Health workers,NATIONAL,1st contact,healthcare workers
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,HW,Health workers,NATIONAL,+M5,healthcare workers
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,HW,Health workers,NATIONAL,+M1,healthcare workers
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M5,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,,General/routine,NATIONAL,M1,
ABW,Aruba,AMRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,2.0,,General/routine,NATIONAL,M3,
ABW,Aruba,AMRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,3.0,,General/routine,NATIONAL,M9,
ABW,Aruba,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y11,females only; grade 6 primary schools
ABW,Aruba,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2.0,FEMALE,HPV for females only,NATIONAL,+M6,females only; grade 6 primary schools
ABW,Aruba,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,,Older persons
ABW,Aruba,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,1st contact,Health and care workers
ABW,Aruba,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,Pregnant women
ABW,Aruba,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"Adults with chronic conditions, residents living in long-term care facilities"
ABW,Aruba,AMRO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,,Children living with long-term care facilities
ABW,Aruba,AMRO,2023.0,MEN_ACYW_135CONJ,Meningococcal ACYW conjugate vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,students travelling abroad
ABW,Aruba,AMRO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,,General/routine,NATIONAL,M12,
ABW,Aruba,AMRO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,,General/routine,NATIONAL,Y4,
ABW,Aruba,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,,General/routine,NATIONAL,M2,
ABW,Aruba,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,,General/routine,NATIONAL,M4,
ABW,Aruba,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,,General/routine,NATIONAL,M12,
ABW,Aruba,AMRO,2023.0,VARICELLA,Varicella vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,>=Y1,upon request
ABW,Aruba,AMRO,2023.0,YF,YF (Yellow fever) vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers to specific countries
AFG,Afghanistan,EMRO,2023.0,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,,General/routine,NATIONAL,B,0-11 months
AFG,Afghanistan,EMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,,General/routine,NATIONAL,W6,0-11 months
AFG,Afghanistan,EMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,,General/routine,NATIONAL,W10,0-11 months
AFG,Afghanistan,EMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,,General/routine,NATIONAL,W14,0-11 months
AFG,Afghanistan,EMRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,,General/routine,NATIONAL,B,New borns
AFG,Afghanistan,EMRO,2023.0,IPV,IPV (Inactivated polio vaccine),1.0,,General/routine,NATIONAL,W14,0-9 months
AFG,Afghanistan,EMRO,2023.0,IPV,IPV (Inactivated polio vaccine),2.0,,General/routine,NATIONAL,M9,0-9 months
AFG,Afghanistan,EMRO,2023.0,MEASLES,Measles vaccine,1.0,,General/routine,NATIONAL,M9,0-18 months
AFG,Afghanistan,EMRO,2023.0,MEASLES,Measles vaccine,2.0,,General/routine,NATIONAL,M18,0-18 months
AFG,Afghanistan,EMRO,2023.0,OPV,OPV (Oral polio vaccine),1.0,,General/routine,NATIONAL,B,0-11 months
AFG,Afghanistan,EMRO,2023.0,OPV,OPV (Oral polio vaccine),2.0,,General/routine,NATIONAL,W6,0-11 months
AFG,Afghanistan,EMRO,2023.0,OPV,OPV (Oral polio vaccine),3.0,,General/routine,NATIONAL,W10,0-11 months
AFG,Afghanistan,EMRO,2023.0,OPV,OPV (Oral polio vaccine),4.0,,General/routine,NATIONAL,W14,0-11 months
AFG,Afghanistan,EMRO,2023.0,OPV,OPV (Oral polio vaccine),5.0,,General/routine,NATIONAL,M9,0-11 months
AFG,Afghanistan,EMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,,General/routine,NATIONAL,W6,0-11 months
AFG,Afghanistan,EMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,,General/routine,NATIONAL,W10,0-11 months
AFG,Afghanistan,EMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,,General/routine,NATIONAL,W14,0-11 months
AFG,Afghanistan,EMRO,2023.0,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,1.0,,General/routine,NATIONAL,W6,0-11 months
AFG,Afghanistan,EMRO,2023.0,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,2.0,,General/routine,NATIONAL,W10,0-11 months
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,ADULTS,Adults,NATIONAL,1st contact,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,ADULTS,Adults,NATIONAL,+M1,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,ADULTS,Adults,NATIONAL,+M6,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4.0,ADULTS,Adults,NATIONAL,+Y1,Y15-Y49 (WCBA)
AFG,Afghanistan,EMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5.0,ADULTS,Adults,NATIONAL,+Y1,Y15-Y49 (WCBA)
AGO,Angola,AFRO,2023.0,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,,General/routine,NATIONAL,B,0-11 mois
AGO,Angola,AFRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,,General/routine,NATIONAL,M2,0-11 mois
AGO,Angola,AFRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,,General/routine,NATIONAL,M4,0-11 mois
AGO,Angola,AFRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,,General/routine,NATIONAL,M6,0-11 mois
AGO,Angola,AFRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,,General/routine,NATIONAL,B,0-7 jours
AGO,Angola,AFRO,2023.0,IPV,IPV (Inactivated polio vaccine),1.0,,General/routine,NATIONAL,M4,0-11 mois
AGO,Angola,AFRO,2023.0,IPV,IPV (Inactivated polio vaccine),2.0,,General/routine,NATIONAL,M9,0-11 mois
AGO,Angola,AFRO,2023.0,MR,MR (Measles and rubella) vaccine,1.0,,General/routine,NATIONAL,M9,9-15 mois
AGO,Angola,AFRO,2023.0,MR,MR (Measles and rubella) vaccine,2.0,,General/routine,NATIONAL,M15,9-15 mois
AGO,Angola,AFRO,2023.0,OPV,OPV (Oral polio vaccine),1.0,,General/routine,NATIONAL,B,0-11 mois
AGO,Angola,AFRO,2023.0,OPV,OPV (Oral polio vaccine),2.0,,General/routine,NATIONAL,M2,0-11 mois
AGO,Angola,AFRO,2023.0,OPV,OPV (Oral polio vaccine),3.0,,General/routine,NATIONAL,M4,0-11 mois
AGO,Angola,AFRO,2023.0,OPV,OPV (Oral polio vaccine),4.0,,General/routine,NATIONAL,M6,0-11 mois
AGO,Angola,AFRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,,General/routine,NATIONAL,M2,0-11 mois
AGO,Angola,AFRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,,General/routine,NATIONAL,M4,0-11 mois
AGO,Angola,AFRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,,General/routine,NATIONAL,M6,0-11 mois
AGO,Angola,AFRO,2023.0,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,1.0,,General/routine,NATIONAL,M2,0-11 mois
AGO,Angola,AFRO,2023.0,ROTAVIRUS_1,RV-1 (Rotavirus 1-valent) vaccine,2.0,,General/routine,NATIONAL,M4,0-11 mois
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,1st contact grossesse
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,PW,Pregnant women,NATIONAL,+M1,1st contact grossesse
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,PW,Pregnant women,NATIONAL,+M6,1st contact grossesse
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,4.0,PW,Pregnant women,NATIONAL,+Y1,1st contact grossesse
AGO,Angola,AFRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,5.0,PW,Pregnant women,NATIONAL,+Y1,1st contact grossesse
AGO,Angola,AFRO,2023.0,TT,TT (Tetanus toxoid) vaccine,1.0,ADULTS,Adults,NATIONAL,Y15-Y49,15-49 A
AGO,Angola,AFRO,2023.0,VITAMINA,Vitamin A supplements,1.0,,General/routine,NATIONAL,M6,0-11 mois
